step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
7,PAYMENT,30480.84,C1000000,344056.94,313576.1,M2000000,718360.22,748841.06,0,0
20,CASH_OUT,26150.57,C1000001,10581.91,10581.91,C3000001,348546.65,374697.22,0,0
29,PAYMENT,69190.84,C1000002,168352.83,99161.99,M2000002,587383.6,656574.44,0,0
15,DEBIT,161559.7,C1000003,72237.85,72237.85,C3000003,310761.7,472321.4,0,0
11,CASH_IN,49345.01,C1000004,116486.11,67141.1,C3000004,999149.57,1048494.58,0,0
8,CASH_IN,12744.36,C1000005,452744.74,440000.38,C3000005,748839.19,761583.55,0,0
29,CASH_IN,26428.74,C1000006,18446.64,18446.64,C3000006,614381.64,640810.38,0,0
21,TRANSFER,171763.12,C1000007,109900.36,109900.36,C3000007,423259.14,595022.26,1,0
7,PAYMENT,126793.28,C1000008,154784.68,27991.4,M2000008,618152.29,744945.57,0,0
26,DEBIT,50714.91,C1000009,308442.04,257727.13,C3000009,341616.06,392330.97,0,0
19,TRANSFER,111103.64,C1000010,267050.85,155947.21,C3000010,28864.84,139968.48,0,0
23,CASH_OUT,105563.17,C1000011,109134.74,3571.57,C3000011,395088.52,500651.69,0,0
11,DEBIT,131121.65,C1000012,82120.53,82120.53,C3000012,930480.82,1061602.47,0,0
11,DEBIT,46714.19,C1000013,118399.02,71684.83,C3000013,626301.09,673015.28,0,0
24,DEBIT,172894.16,C1000014,251264.81,78370.65,C3000014,83955.7,256849.86,0,0
21,CASH_IN,61942.78,C1000015,135588.89,73646.11,C3000015,884993.61,946936.39,0,0
4,DEBIT,138856.92,C1000016,473801.25,334944.33,C3000016,268874.85,407731.77,0,0
8,PAYMENT,3323.32,C1000017,231932.61,228609.29,M2000017,243769.49,247092.81,0,0
24,DEBIT,74594.16,C1000018,29398.01,29398.01,C3000018,297090.97,371685.13,0,0
3,CASH_IN,70406.79,C1000019,364633.2,294226.41,C3000019,577202.24,647609.03,0,0
22,DEBIT,108742.54,C1000020,164422.64,55680.1,C3000020,544688.09,653430.63,0,0
21,CASH_OUT,14639.98,C1000021,326744.47,312104.49,C3000021,491413.75,506053.73,0,0
2,CASH_OUT,158047.26,C1000022,139797.19,139797.19,C3000022,717536.86,875584.12,1,0
24,CASH_IN,43634.38,C1000023,285371.87,241737.49,C3000023,316537.73,360172.11,0,0
12,PAYMENT,135439.86,C1000024,386076.25,250636.39,M2000024,782064.52,917504.38,0,0
30,PAYMENT,160662.1,C1000025,464004.37,303342.27,M2000025,175321.68,335983.78,0,0
6,TRANSFER,112419.2,C1000026,130563.57,18144.37,C3000026,782620.79,895039.99,0,0
2,CASH_IN,148202.55,C1000027,167428.48,19225.93,C3000027,663810.11,812012.66,0,0
28,DEBIT,132405.88,C1000028,232133.21,99727.33,C3000028,683208.31,815614.19,0,0
21,CASH_IN,71170.41,C1000029,463587.42,392417.01,C3000029,481553.4,552723.81,0,0
1,TRANSFER,161790.82,C1000030,450693.43,288902.61,C3000030,667001.53,828792.35,1,0
12,CASH_IN,59010.8,C1000031,44939.14,44939.14,C3000031,79797.05,138807.85,0,0
26,CASH_IN,114285.46,C1000032,65964.91,65964.91,C3000032,851551.12,965836.58,0,0
22,TRANSFER,149105.01,C1000033,247754.59,98649.58,C3000033,55547.23,204652.24,0,0
